Dataset                        ;Catch22Classifier  ;FreshPRINCEClassifier ;TSFreshClassifier  ;Model_Dicionário;Model_Amazonico;model_padrao
ACSF1                          ;0.85               ;   0.89               ;0.87               ;0.83;0.84;0.73
Adiac                          ;0.7161125319693095 ;   0.8414322250639387 ;0.8107416879795396 ;0.8132992327365729;0.7621483375959079;0.7135549872122762
ArrowHead                      ;0.7257142857142858 ;   0.6285714285714286 ;0.6914285714285714 ;0.7428571428571429;0.7085714285714285;0.7542857142857143
BME                            ;0.9133333333333332 ;   1.0                ;1.0                ;0.96;0.7333333333333333;0.9933333333333333
Beef                           ;0.6                ;   0.8                ;0.8                ;0.8666666666666667;0.95;0.7666666666666667
BeetleFly                      ;0.75               ;   0.9                ;0.5                ;0.95;0.9;0.9
BirdChicken                    ;0.9                ;   1.0                ;0.9                ;0.75;1.0;0.7
CBF                            ;0.9666666666666668 ;   0.9944444444444444 ;0.9955555555555556 ;0.9944444444444445;0.9755555555555555;0.9755555555555555
Car                            ;0.7666666666666667 ;   0.7666666666666667 ;0.8333333333333334 ;0.8166666666666667;0.8;0.7333333333333333
Chinatown                      ;0.9154518950437318 ;   0.9825072886297376 ;0.97667638483965   ;0.9825072886297376;0.9795918367346939;0.9854227405247813
ChlorineConcentration          ;0.6013020833333333 ;   0.7747395833333334 ;0.459375           ;0.7403645833333333;0.74140625;0.7606770833333333
CinCECGTorso                   ;0.8173913043478261 ;   0.9666666666666668 ;0.9847826086956522 ;0.8442028985507246;0.95;0.8434782608695652
Coffee                         ;1.0                ;   1.0                ;1.0                ;1.0;1.0;1.0
Computers                      ;0.716              ;   0.768              ;0.76               ;0.612;0.764;0.628
CricketX                       ;0.5820512820512821 ;   0.7102564102564103 ;0.6974358974358974 ;0.6743589743589744;0.7051282051282052;0.6358974358974359
CricketY                       ;0.5153846153846153 ;   0.6897435897435897 ;0.6871794871794872 ;0.6871794871794872;0.7410256410256411;0.6384615384615384
CricketZ                       ;0.6435897435897436 ;   0.7538461538461538 ;0.7307692307692307 ;0.7025641025641025;0.7384615384615385;0.658974358974359
Crop                           ;0.6916071428571429 ;   0.7704166666666666 ;0.7566071428571428 ;0.7548809523809524;0.772797619047619;0.7548809523809524
DiatomSizeReduction            ;0.9444444444444444 ;   0.8529411764705882 ;0.3006535947712418 ;0.9607843137254902;0.9575163398692811;0.934640522875817
DistalPhalanxOutlineAgeGroup   ;0.7050359712230215 ;   0.7553956834532374 ;0.7338129496402878 ;0.762589928057554;0.7553956834532374;0.7482014388489209
DistalPhalanxOutlineCorrect    ;0.7971014492753623 ;   0.7898550724637681 ;0.7644927536231884 ;0.7862318840579711;0.7753623188405797;0.7862318840579711
DistalPhalanxTW                ;0.6618705035971223 ;   0.6906474820143885 ;0.6402877697841727 ;0.6762589928057554;0.6906474820143885;0.697841726618705
ECG200                         ;0.84               ;   0.88               ;0.85               ;0.9;0.7482014388489209;0.87
ECG5000                        ;0.9393333333333334 ;   0.9442222222222222 ;0.942              ;0.9404444444444444;0.86;0.9393333333333334
ECGFiveDays                    ;0.7723577235772358 ;   1.0                ;0.4970963995354239 ;1.0;0.9408888888888889;0.9872241579558653
EOGHorizontalSignal            ;0.5524861878453039 ;   0.5911602209944752 ;0.5662983425414365 ;0.5165745856353591;0.9790940766550522;0.4723756906077348
EOGVerticalSignal              ;0.505524861878453  ;   0.4779005524861878 ;0.4917127071823204 ;0.48066298342541436;0.7344053948904163;0.425414364640884
Earthquakes                    ;0.7410071942446043 ;   0.7697841726618705 ;0.7553956834532374 ;0.7482014388489209;0.5303867403314917;0.7482014388489209
ElectricDevices                ;0.7274024121385034 ;   0.7691609389184282 ;0.7663078718713526 ;0.6717676047205291;0.5138121546961326;0.6717676047205291
EthanolLevel                   ;0.35               ;   0.41               ;0.382              ;0.492;0.478;0.51
FaceAll                        ;0.763905325443787  ;   0.7816568047337278 ;0.878698224852071  ;0.7940828402366864;0.7988165680473372;0.8810650887573964
FaceFour                       ;0.6363636363636364 ;   0.9659090909090908 ;0.5795454545454546 ;0.8295454545454546;0.9772727272727273;0.9204545454545454
FacesUCR                       ;0.7073170731707317 ;   0.8975609756097561 ;0.871219512195122  ;0.8551219512195122;0.895609756097561;0.8136585365853658
FiftyWords                     ;0.5956043956043956 ;   0.7384615384615385 ;0.6857142857142857 ;0.7406593406593407;0.756043956043956;0.7164835164835165
Fish                           ;0.7942857142857143 ;   0.9142857142857144 ;0.92               ;0.8685714285714285;0.8628571428571429;0.7885714285714286
FordA                          ;0.9159090909090908 ;   1.0                ;1.0                ;0.90454545454545;0.9416666666666667;0.8878787878787879
FordB                          ;0.7333333333333333 ;   0.7950617283950617 ;0.8308641975308642 ;0.7814814814814814;0.7876543209876543;0.7209876543209877
FreezerRegularTrain            ;0.99859649122807   ;   0.9894736842105264 ;0.983157894736842  ;0.9540350877192982;0.9898245614035087;0.9452631578947368
FreezerSmallTrain              ;0.9585964912280702 ;   0.983859649122807  ;0.923157894736842  ;0.8014035087719298;0.864561403508772;0.7378947368421053
GunPoint                       ;0.9666666666666668 ;   0.94               ;0.9533333333333334 ;0.9466666666666667;0.96;0.9733333333333334
GunPointAgeSpan                ;0.9746835443037974 ;   0.981012658227848  ;0.9841772151898734 ;0.9968354430379747;0.990506329113924;0.939873417721519
GunPointMaleVersusFemale       ;0.9936708860759492 ;   0.9841772151898734 ;0.9968354430379748 ;0.9968354430379747;1.0;0.9873417721518988
GunPointOldVersusYoung         ;1.0                ;   1.0                ;1.0                ;1.0;1.0;0.9809523809523809
Ham                            ;0.6                ;   0.7428571428571429 ;0.6476190476190476 ;0.6952380952380952;0.6952380952380952;0.7142857142857143
HandOutlines                   ;0.8594594594594595 ;   0.9054054054054054 ;0.9027027027027028 ;0.9054054054054054;0.9135135135135135;0.9054054054054054
Haptics                        ;0.4805194805194805 ;   0.5032467532467533 ;0.4707792207792208 ;0.45454545454545453;0.4805194805194805;0.4772727272727273
Herring                        ;0.53125            ;   0.65625            ;0.59375            ;0.65625;0.640625;0.65625
HouseTwenty                    ;0.957983193277311  ;   0.9327731092436976 ;0.9243697478991596 ;0.865546218487395;0.8991596638655462;0.865546218487395
InlineSkate                    ;0.4254545454545455 ;   0.5127272727272727 ;0.3563636363636364 ;0.35818181818181816;0.4290909090909091;0.4072727272727273
InsectEPGRegularTrain          ;1.0                ;   1.0                ;1.0                ;1.0;1.0;1.0
InsectEPGSmallTrain            ;0.9879518072289156 ;   1.0                ;1.0                ;1.0;1.0;1.0
InsectWingbeatSound            ;0.5671717171717172 ;   0.657070707070707  ;0.6585858585858586 ;0.6636363636363637;0.6656565656565656;0.645959595959596
ItalyPowerDemand               ;0.8960155490767736 ;   0.8979591836734694 ;0.9620991253644317 ;0.9523809523809523;0.9689018464528668;0.9611273080660836
LargeKitchenAppliances         ;0.8453333333333334 ;   0.88               ;0.816              ;0.6133333333333333;0.624;0.656
Lightning2                     ;0.6885245901639344 ;   0.7540983606557377 ;0.5409836065573771 ;0.8360655737704918;0.7868852459016393;0.8032786885245902
Lightning7                     ;0.6986301369863014 ;   0.7123287671232876 ;0.6575342465753424 ;0.821917808219178;0.7534246575342466;0.6164383561643836
Mallat                         ;0.9266524520255864 ;   0.9637526652452024 ;0.9275053304904052 ;0.9641791044776119;0.9590618336886994;0.9603411513859275
Meat                           ;0.9333333333333332 ;   0.9166666666666666 ;0.95               ;0.9666666666666667;0.9333333333333333;0.9333333333333333
MedicalImages                  ;0.7486842105263158 ;   0.8144736842105263 ;0.7802631578947369 ;0.7342105263157894;0.8092105263157895;0.756578947368421
MiddlePhalanxOutlineAgeGroup   ;0.6038961038961039 ;   0.5844155844155844 ;0.5844155844155844 ;0.6103896103896104;0.564935064935065;0.5584415584415584
MiddlePhalanxOutlineCorrect    ;0.7663230240549829 ;   0.8694158075601375 ;0.8075601374570447 ;0.8247422680412371;0.8213058419243986;0.8041237113402062
MiddlePhalanxTW                ;0.525974025974026  ;   0.5584415584415584 ;0.5974025974025974 ;0.564935064935065;0.5714285714285714;0.564935064935065
MixedShapesRegularTrain        ;0.9154639175257732 ;   0.9505154639175256 ;0.9418556701030928 ;0.9208247422680412;0.9360824742268041;0.914639175257732
MixedShapesSmallTrain          ;0.859381443298969  ;   0.8985567010309279 ;0.9051546391752576 ;0.8527835051546392;0.876701030927835;0.8725773195876289
MoteStrain                     ;0.865814696485623  ;   0.9113418530351438 ;0.5391373801916933 ;0.8857827476038339;0.9097444089456869;0.8761980830670927
NonInvasiveFetalECGThorax1     ;0.8508905852417303 ;   0.9297709923664124 ;0.9114503816793892 ;0.8865139949109415;0.9139949109414758;0.8895674300254452
NonInvasiveFetalECGThorax2     ;0.8727735368956743 ;   0.9363867684478372 ;0.9353689567430026 ;0.9195928753180661;0.9297709923664123;0.9170483460559796
OSULeaf                        ;0.6942148760330579 ;   0.8677685950413223 ;0.8677685950413223 ;0.5743801652892562;0.9;0.6157024793388429
OliveOil                       ;0.7333333333333333 ;   0.8666666666666667 ;0.8666666666666667 ;0.9;0.628099173553719;0.9
PhalangesOutlinesCorrect       ;0.7855477855477856 ;   0.837995337995338  ;0.8123543123543123 ;0.8181818181818182;0.8356643356643356;0.8216783216783217
Phoneme                        ;0.300632911392405  ;   0.3454641350210971 ;0.3665611814345991 ;0.21729957805907174;0.2689873417721519;0.21729957805907174
PigAirwayPressure              ;0.5336538461538461 ;   0.4230769230769231 ;0.4086538461538461 ;0.4086538461538461;0.21634615384615385;0.1346153846153846
PigArtPressure                 ;0.9615384615384616 ;   0.9134615384615384 ;0.966346153846154  ;0.93134615384615384;0.4326923076923077;0.16346153846153846
PigCVP                         ;0.6923076923076923 ;   0.7980769230769231 ;0.0192307692307692 ;0.23076923076923078;0.3317307692307692;0.23076923076923078
Plane                          ;0.9904761904761904 ;   1.0                ;1.0                ;0.9904761904761905;1.0;1.0
PowerCons                      ;0.9333333333333332 ;   0.9722222222222222 ;0.9666666666666668 ;1.0;1.0;0.9833333333333333
ProximalPhalanxOutlineAgeGroup ;0.8439024390243902 ;   0.8341463414634146 ;0.8439024390243902 ;0.8585365853658536;0.8585365853658536;0.8536585365853658
ProximalPhalanxOutlineCorrect  ;0.8350515463917526 ;   0.8969072164948454 ;0.8694158075601375 ;0.8797250859106529;0.8797250859106529;0.8762886597938144
ProximalPhalanxTW              ;0.7609756097560976 ;   0.775609756097561  ;0.7804878048780488 ;0.8048780487804879;0.8146341463414634;0.8
RefrigerationDevices           ;0.5226666666666666 ;   0.6                ;0.56               ;0.56;0.5706666666666667;0.584
Rock                           ;0.76               ;   0.76               ;0.7                ;0.84;0.8;0.72
ScreenType                     ;0.5093333333333333 ;   0.584              ;0.6053333333333333 ;0.392;0.48;0.47733333333333333
SemgHandGenderCh2              ;0.905              ;   0.9583333333333334 ;0.9333333333333332 ;0.895;0.9666666666666667;0.81
SemgHandMovementCh2            ;0.78               ;   0.8933333333333333 ;0.8355555555555556 ;0.68;0.8577777777777778;0.5577777777777778
SemgHandSubjectCh2             ;0.86               ;   0.9466666666666668 ;0.92               ;0.8777777777777778;0.9244444444444444;0.7288888888888889
ShapeletSim                    ;0.9888888888888888 ;   1.0                ;0.5                ;0.6833333333333333;0.9277777777777778;0.5777777777777777
ShapesAll                      ;0.8083333333333333 ;   0.8616666666666667 ;0.8583333333333333 ;0.815;0.8383333333333334;0.785
SmallKitchenAppliances         ;0.808              ;   0.816              ;0.8133333333333334 ;0.7493333333333333;0.824;0.6613333333333333
SmoothSubspace                 ;0.84               ;   0.9733333333333334 ;0.9666666666666668 ;0.98;0.9933333333333333;0.9533333333333334
SonyAIBORobotSurface1          ;0.8569051580698835 ;   0.91846921797005   ;0.9168053244592346 ;0.7970049916805324;0.8635607321131448;0.8386023294509152
SonyAIBORobotSurface2          ;0.9265477439664218 ;   0.9160545645330536 ;0.9024134312696748 ;0.881427072402938;0.838405036726128;0.8583420776495279
StarLightCurves                ;0.9695240407965032 ;   0.9797231665857212 ;0.9794803302574066 ;0.9794803302574066;0.9734094220495386;0.9658814958717824
Strawberry                     ;0.927027027027027  ;   0.9594594594594594 ;0.9486486486486486 ;0.9702702702702702;0.9702702702702702;0.9621621621621622
SwedishLeaf                    ;0.9024             ;   0.9392             ;0.9456             ;0.9136;0.9392;0.9136
Symbols                        ;0.9608040201005024 ;   0.9728643216080402 ;0.9366834170854272 ;0.878391959798995;0.935678391959799;0.8482412060301507
SyntheticControl               ;0.9633333333333334 ;   0.9966666666666668 ;1.0                ;0.9966666666666667;0.9933333333333333;0.9866666666666667
ToeSegmentation1               ;0.8640350877192983 ;   0.8157894736842105 ;0.5263157894736842 ;0.7236842105263158;0.793859649122807;0.7017543859649122
ToeSegmentation2               ;0.7923076923076923 ;   0.8615384615384616 ;0.8384615384615385 ;0.8538461538461538;0.8846153846153846;0.7461538461538462
Trace                          ;1.0                ;   1.0                ;1.0                ;0.98;0.98;0.91
TwoLeadECG                     ;0.8323090430201932 ;   0.9912203687445128 ;0.4995610184372256 ;0.7515364354697103;0.8507462686567164;0.7752414398595259
TwoPatterns                    ;0.848              ;   0.997              ;0.9955             ;0.9445;0.99775;0.925
UMD                            ;0.8958333333333334 ;   0.9861111111111112 ;0.9513888888888888 ;0.9791666666666666;0.9861111111111112;0.8958333333333334
UWaveGestureLibraryAll         ;0.8280290340591848 ;   0.9637074260189838 ;0.951144611948632  ;0.9539363484087102;0.8140703517587939;0.9438860971524288
UWaveGestureLibraryX           ;0.7546063651591289 ;   0.8403126744835288 ;0.803461753210497  ;0.794249022892239;0.7319932998324958;0.7763819095477387
UWaveGestureLibraryY           ;0.6954215522054717 ;   0.768285873813512  ;0.7252931323283082 ;0.7166387493020658;0.7573981016192072;0.7079843662758235
UWaveGestureLibraryZ           ;0.7024008933556672 ;   0.7858738135120045 ;0.7467895030709101 ;0.7848738135120045;0.9980532121998702;0.7275265214963708
Wafer                          ;0.9974042829331604 ;   1.0                ;1.0                ;0.9991330304996755;0.7222222222222222;0.994970798182998
Wine                           ;0.3888888888888889 ;   0.7962962962962963 ;0.5                ;0.8518518518518519;0.658307210031348;0.6851851851851852
WordSynonyms                   ;0.5376175548589341 ;   0.6536050156739812 ;0.5877742946708464 ;0.6206896551724138;0.6493506493506493;0.6379310344827587
Worms                          ;0.7272727272727273 ;   0.8181818181818182 ;0.7662337662337663 ;0.5844155844155844;0.7142857142857143;0.7272727272727273
WormsTwoClass                  ;0.8571428571428571 ;   0.8311688311688312 ;0.6103896103896104 ;0.7532467532467533;0.8473333333333334;0.8051948051948052
Yoga                           ;0.784              ;   0.9146666666666666 ;0.9146666666666666 ;0.8396666666666667;0.8473333333333334;0.8296666666666667
